id_evidencia,id_reporte,tipo_evidencia,descripcion,hash_demo,estado_cadena_custodia_demo
EVD-00001-1,NEXO-147-00001,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00001-1,Pendiente
EVD-00001-2,NEXO-147-00001,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00001-2,Pendiente
EVD-00001-3,NEXO-147-00001,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00001-3,Validada
EVD-00001-4,NEXO-147-00001,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00001-4,Pendiente
EVD-00002-1,NEXO-147-00002,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00002-1,Pendiente
EVD-00002-2,NEXO-147-00002,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00002-2,Pendiente
EVD-00003-1,NEXO-147-00003,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00003-1,Recibida
EVD-00003-2,NEXO-147-00003,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00003-2,Pendiente
EVD-00003-3,NEXO-147-00003,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00003-3,Validada
EVD-00004-1,NEXO-147-00004,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00004-1,Validada
EVD-00004-2,NEXO-147-00004,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00004-2,Validada
EVD-00005-1,NEXO-147-00005,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00005-1,Recibida
EVD-00006-1,NEXO-147-00006,Sin evidencia inicial,Evidencia sintética tipo Sin evidencia inicial,SHA256-DEMO-00006-1,Recibida
EVD-00007-1,NEXO-147-00007,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00007-1,Recibida
EVD-00007-2,NEXO-147-00007,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00007-2,Pendiente
EVD-00007-3,NEXO-147-00007,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00007-3,Pendiente
EVD-00008-1,NEXO-147-00008,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00008-1,Validada
EVD-00009-1,NEXO-147-00009,Enlace sospechoso,Evidencia sintética tipo Enlace sospechoso,SHA256-DEMO-00009-1,Pendiente
EVD-00009-2,NEXO-147-00009,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00009-2,Validada
EVD-00009-3,NEXO-147-00009,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00009-3,Recibida
EVD-00010-1,NEXO-147-00010,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00010-1,Validada
EVD-00010-2,NEXO-147-00010,Número telefónico,Evidencia sintética tipo Número telefónico,SHA256-DEMO-00010-2,Validada
EVD-00010-3,NEXO-147-00010,Audio de llamada,Evidencia sintética tipo Audio de llamada,SHA256-DEMO-00010-3,Recibida
EVD-00011-1,NEXO-147-00011,Captura WhatsApp,Evidencia sintética tipo Captura WhatsApp,SHA256-DEMO-00011-1,Validada
EVD-00011-2,NEXO-147-00011,Mensaje SMS,Evidencia sintética tipo Mensaje SMS,SHA256-DEMO-00011-2,Validada
EVD-00011-3,NEXO-147-00011,Correo amenazante,Evidencia sintética tipo Correo amenazante,SHA256-DEMO-00011-3,Pendiente
EVD-00012-1,NEXO-147-00012,Comprobante de pago,Evidencia sintética tipo Comprobante de pago,SHA256-DEMO-00012-1,Pendiente
